node, chunk
577407,10
586833,7
589841,2
591002,4
591936,3
594049,1
596942,1
597209,4
597456,4
600709,4
601510,4
602585,4
602633,4
602636,4
602682,4
602698,4
609295,4
610380,4
613196,1
613905,4
614051,2
614101,11
614211,11
623740,5
623744,5
625136,4
626378,2
627230,0
628798,4
629358,11
629360,11
631328,1
644661,10
649802,2
650015,2
653684,1
658922,2
662956,11
667144,2
667154,2
667186,2
670337,2
670352,2
670355,2
670356,2
670595,1
680683,10
681192,2
684658,4
685728,8
686327,0
686820,4
687455,3
688445,10
689058,9
690910,9
691633,10
691651,10
692089,10
693967,11
702717,10
703304,0
708063,9
714620,4
720584,2
720586,2
721137,10
721163,10
722662,10
722673,10
742174,11
743375,4
748215,10
748366,5
753189,9
753202,9
753204,9
753214,10
753216,9
758706,10
765876,11
767470,11
797021,2
797374,4
861768,7
863708,4
874455,9
874463,2
875880,9
875881,9
875883,10
875884,9
875885,9
876063,10
876679,3
878968,11
880429,0
881300,3
881891,4
882753,6
884340,10
884341,10
884342,10
885580,3
886794,2
889801,2
904206,2
909773,4
909778,4
909788,4
928822,1
931557,11
932028,2
932674,2
933632,8
934813,10
934828,10
934829,10
934839,10
934840,10
934876,10
934882,10
934915,10
934940,10
935657,4
938171,9
938226,9
938238,9
938393,7
941984,7
946358,7
979223,2
980415,8
987013,10
987419,9
987424,9
987431,9
987449,9
987859,9
987866,9
987872,9
987877,9
987893,9
987895,9
987902,9
987925,9
987935,9
987943,9
987953,10
987977,9
987983,9
987985,9
987995,9
988018,9
988019,9
988025,10
988041,9
988049,9
988056,9
988071,9
988081,9
988106,9
988125,9
988174,9
989769,10
990972,7
997540,9
997545,9
997551,9
998830,10
1026970,3
1027985,3
1041015,1
1041416,3
1047088,3
1049336,11
1086592,4
1088058,3
1088131,3
1094192,2
1096077,1
1100915,10
1100916,10
1100963,10
1101027,10
1101063,10
1101072,10
1101095,10
1101106,9
1101110,10
1108569,10
1109041,2
1109111,10
1116483,10
1118519,2
1118524,2
1118560,2
1118748,2
1118817,2
1124515,1
1124558,1
1126389,4
1132045,11
1142201,5
1155016,11
1160851,2
1160894,2
1167272,4
1172129,4
1187130,2
1190790,4
1190802,4
1194336,3
1195655,0
1196302,2
1203425,6
1206372,1
1207006,10
1207007,10
1210411,0
1210413,0
1218281,10
1218682,2
1219171,1
1220523,2
